Date,Time,Micro_Crack,Dirty,Bruise,Check,Chip,Broken,Total
02-03-2022 ,02:34:23 PM,4,0,0,2,0,0,6
02-03-2022 ,02:36:49 PM,2,0,3,3,0,0,8
02-03-2022 ,02:43:56 PM,3,0,3,2,0,0,8
