WAV,ABS1,ABS2,ABS3
380,2.104695591,Error,1.899608535
381,2.104695591,Error,1.899608535
382,2.105224442,Error,1.899608535
383,2.139264328,Error,1.8270298
384,2.139792857,Error,1.8270298
385,2.139264328,Error,1.8270298
386,2.139792857,Error,1.826533464
387,2.139528673,Error,1.8270298
388,2.139528673,Error,1.8270298
389,2.139792857,Error,1.8270298
390,2.139528673,Error,1.8270298
391,2.139264328,Error,1.794936634
392,2.139264328,Error,1.8400336
393,2.139528673,Error,1.8400336
394,2.139528673,Error,1.8400336
395,2.139264328,Error,1.8400336
396,2.139528673,Error,1.8400336
397,2.139528673,Error,1.8400336
398,2.138999822,Error,1.8400336
399,2.139528673,Error,1.8400336
400,2.139528673,Error,1.8400336
401,2.139264328,Error,1.8400336
402,2.139528673,Error,1.8400336
403,2.139528673,Error,1.8400336
404,2.139528673,Error,1.8400336
405,2.139528673,Error,1.8400336
406,2.139264328,Error,1.8400336
407,2.138999822,Error,1.8400336
408,2.139264328,Error,1.8400336
409,2.139528673,Error,1.8400336
410,2.139264328,Error,1.8400336
411,2.139528673,Error,1.8400336
412,2.139528673,Error,1.8400336
413,2.139264328,Error,1.8400336
414,2.139528673,Error,1.8400336
415,2.139528673,Error,1.806389893
416,2.139264328,Error,1.806389893
417,2.104960097,Error,1.806389893
418,2.104960097,Error,1.806389893
419,2.104960097,Error,1.806389893
420,2.105488626,Error,1.806389893
421,2.105224442,Error,1.806389893
422,2.104960097,Error,1.806389893
423,2.104960097,Error,1.806389893
424,2.105224442,Error,1.806389893
425,2.105224442,Error,1.806389893
426,2.104960097,Error,1.806389893
427,2.105224442,Error,1.806389893
428,2.104960097,Error,1.806389893
429,2.104695591,Error,1.806389893
430,2.104960097,Error,1.806389893
431,2.104960097,Error,1.806895192
432,2.105224442,Error,1.806389893
433,2.105224442,Error,1.806389893
434,2.104960097,Error,1.806389893
435,2.105224442,Error,1.806389893
436,2.105224442,Error,1.806389893
437,2.105224442,Error,1.806389893
438,2.104960097,Error,1.806389893
439,2.104960097,Error,1.775166135
440,2.104960097,Error,1.775166135
441,2.104695591,Error,1.775166135
442,2.105488626,Error,1.775166135
443,2.105488626,Error,1.775166135
444,2.105224442,Error,1.775166135
445,2.105488626,Error,1.775166135
446,2.105488626,Error,1.775166135
447,2.104960097,Error,1.775166135
448,2.105224442,Error,1.775166135
449,2.105224442,Error,1.775166135
450,2.104960097,Error,1.775166135
451,2.104695591,Error,1.775166135
452,2.105224442,Error,1.775166135
453,2.105488626,Error,1.775166135
454,2.105224442,Error,1.775166135
455,2.105488626,Error,1.775166135
456,2.105224442,Error,1.775166135
457,2.073058592,Error,1.775166135
458,2.072794408,Error,1.775166135
459,2.072530063,Error,1.775166135
460,2.073317229,Error,1.775166135
461,2.072794408,Error,1.775166135
462,2.072794408,Error,1.775166135
463,2.073058592,Error,1.746037438
464,2.073058592,Error,1.746037438
465,2.072794408,Error,1.746037438
466,2.073058592,Error,1.746037438
467,2.073058592,Error,1.746037438
468,2.072530063,Error,1.746037438
469,2.072794408,Error,1.746037438
470,2.072794408,Error,1.746037438
471,2.072530063,Error,1.746037438
472,2.072794408,Error,1.746037438
473,2.073058592,Error,1.746037438
474,2.073058592,Error,1.746037438
475,2.072794408,Error,1.746037438
476,2.073058592,Error,1.746037438
477,2.073058592,Error,1.746037438
478,2.072530063,Error,1.746037438
479,2.072794408,Error,1.746037438
480,2.072530063,Error,1.746037438
481,2.073058592,Error,1.746037438
482,2.072794408,Error,1.746037438
483,2.072530063,Error,1.746037438
484,2.073058592,Error,1.746037438
485,2.073058592,Error,1.746037438
486,2.072794408,Error,1.719239718
487,2.072794408,Error,1.719239718
488,2.073058592,Error,1.719239718
489,2.072794408,Error,1.719239718
490,2.072530063,Error,1.719239718
491,2.072794408,Error,1.719239718
492,2.072794408,Error,1.719239718
493,2.072794408,Error,1.719239718
494,2.073058592,Error,1.719239718
495,2.073058592,Error,1.719239718
496,2.072794408,Error,1.719239718
497,2.073058592,Error,1.718743381
498,2.073058592,Error,1.719239718
499,2.073058592,Error,1.719239718
500,2.073317229,Error,1.719239718
501,2.073058592,Error,1.719239718
502,2.072794408,Error,1.719239718
503,2.073058592,Error,1.718743381
504,2.04261866,Error,1.719239718
505,2.042354315,Error,1.718743381
506,2.043141481,Error,1.718743381
507,2.043141481,Error,1.719239718
508,2.042882844,Error,1.718743381
509,2.043141481,Error,1.693032236
510,2.043141481,Error,1.729351804
511,2.04261866,Error,1.729351804
512,2.042882844,Error,1.729351804
513,2.042882844,Error,1.728855467
514,2.04261866,Error,1.729351804
515,2.042882844,Error,1.728855467
516,2.043141481,Error,1.729351804
517,2.042882844,Error,1.729351804
518,2.042882844,Error,1.729351804
519,2.043141481,Error,1.729351804
520,2.043141481,Error,1.729351804
521,2.042882844,Error,1.729351804
522,2.043141481,Error,1.729351804
523,2.042882844,Error,1.729351804
524,2.04261866,Error,1.729857102
525,2.042882844,Error,1.729351804
526,2.042882844,Error,1.729351804
527,2.042882844,Error,1.729857102
528,2.043405347,Error,1.729857102
529,2.043405347,Error,1.729857102
530,2.043141481,Error,1.729857102
531,2.043405347,Error,1.729857102
532,2.043141481,Error,1.703077042
533,2.042882844,Error,1.703077042
534,2.042882844,Error,1.703077042
535,2.042882844,Error,1.703077042
536,2.043669053,Error,1.703077042
537,2.043141481,Error,1.703077042
538,2.042882844,Error,1.703077042
539,2.042882844,Error,1.702571744
540,2.043141481,Error,1.703077042
541,2.043141481,Error,1.703077042
542,2.042882844,Error,1.703077042
543,2.042882844,Error,1.703077042
544,2.01574861,Error,1.703077042
545,2.015484744,Error,1.703077042
546,2.01574861,Error,1.703077042
547,2.01574861,Error,1.703077042
548,2.015226107,Error,1.703077042
549,2.015484744,Error,1.703077042
550,2.015484744,Error,1.703077042
551,2.014961923,Error,1.703077042
552,2.015226107,Error,1.703077042
553,2.015226107,Error,1.678761421
554,2.015484744,Error,1.678761421
555,2.01574861,Error,1.678761421
556,2.01574861,Error,1.679266132
557,2.015484744,Error,1.678761421
558,2.01574861,Error,1.678761421
559,2.015484744,Error,1.679266132
560,2.015226107,Error,1.678761421
561,2.015226107,Error,1.678761421
562,2.015226107,Error,1.678761421
563,2.014961923,Error,1.679266132
564,2.015226107,Error,1.679266132
565,2.015226107,Error,1.679266132
566,2.01574861,Error,1.679266132
567,2.01574861,Error,1.679266132
568,2.015484744,Error,1.679266132
569,2.015484744,Error,1.679266132
570,2.015226107,Error,1.679266132
571,2.015484744,Error,1.679266132
572,2.015226107,Error,1.679266132
573,2.014961923,Error,1.679266132
574,2.015226107,Error,1.679266132
575,2.015226107,Error,1.679266132
576,2.014961923,Error,1.655808972
577,2.015484744,Error,1.655808972
578,2.015226107,Error,1.655808972
579,2.015484744,Error,1.655808972
580,2.015484744,Error,1.655808972
581,2.015484744,Error,1.655808972
582,2.015484744,Error,1.655808972
583,2.015226107,Error,1.655808972
584,2.015226107,Error,1.655808972
585,2.014961923,Error,1.655808972
586,2.015226107,Error,1.655808972
587,2.015226107,Error,1.656303591
588,2.015484744,Error,1.655808972
589,2.01574861,Error,1.655808972
590,2.01574861,Error,1.656303591
591,2.015484744,Error,1.656303591
592,1.988958831,Error,1.655808972
593,1.988958831,Error,1.655808972
594,1.988958831,Error,1.656303591
595,1.989222698,Error,1.655808972
596,1.988958831,Error,1.655808972
597,1.98843601,Error,1.634048739
598,1.98843601,Error,1.634048739
599,1.989222698,Error,1.634048739
600,1.989222698,Error,1.634048739
601,1.988958831,Error,1.634048739
602,1.989222698,Error,1.634048739
603,1.988700195,Error,1.634048739
604,1.988958831,Error,1.634048739
605,1.988700195,Error,1.634048739
606,1.98843601,Error,1.634048739
607,1.988700195,Error,1.634048739
608,1.988700195,Error,1.634048739
609,1.98843601,Error,1.634048739
610,1.989222698,Error,1.634048739
611,1.989222698,Error,1.634048739
612,1.988958831,Error,1.634048739
613,1.988958831,Error,1.634048739
614,1.988958831,Error,1.634048739
615,1.988958831,Error,1.634048739
616,1.988700195,Error,1.634048739
617,1.988700195,Error,1.634048739
618,1.988958831,Error,1.613268959
619,1.98843601,Error,1.613268959
620,1.988700195,Error,1.642313393
621,1.989222698,Error,1.642313393
622,1.988958831,Error,1.642816945
623,1.989222698,Error,1.642313393
624,1.989222698,Error,1.642313393
625,1.988958831,Error,1.642816945
626,1.989222698,Error,1.642313393
627,1.988700195,Error,1.642816945
628,1.988700195,Error,1.642313393
629,1.988958831,Error,1.642313393
630,1.988958831,Error,1.642313393
631,1.988958831,Error,1.642816945
632,1.989486404,Error,1.642313393
633,1.989222698,Error,1.642816945
634,1.988958831,Error,1.642816945
635,1.989486404,Error,1.642816945
636,1.989222698,Error,1.642816945
637,1.988958831,Error,1.642816945
638,1.989222698,Error,1.621250353
639,1.98843601,Error,1.621250353
640,1.988700195,Error,1.621250353
641,1.964224101,Error,1.620746801
642,1.964224101,Error,1.620746801
643,1.964224101,Error,1.621250353
644,1.964224101,Error,1.620746801
645,1.964487807,Error,1.620746801
646,1.964487807,Error,1.621250353
647,1.963960235,Error,1.621250353
648,1.964224101,Error,1.620746801
649,1.964224101,Error,1.621250353
650,1.963701598,Error,1.621250353
651,1.964224101,Error,1.621250353
652,1.963701598,Error,1.621250353
653,1.964487807,Error,1.621250353
654,1.964487807,Error,1.621250353
655,1.963960235,Error,1.621250353
656,1.964224101,Error,1.621250353
657,1.964224101,Error,1.621250353
658,1.964224101,Error,1.621250353
659,1.963960235,Error,1.621250353
660,1.963960235,Error,1.600704257
661,1.963960235,Error,1.600704257
662,1.963701598,Error,1.600704257
663,1.963960235,Error,1.600704257
664,1.964487807,Error,1.600704257
665,1.964224101,Error,1.600704257
666,1.964487807,Error,1.600704257
667,1.964487807,Error,1.600704257
668,1.964224101,Error,1.600704257
669,1.964224101,Error,1.600704257
670,1.964224101,Error,1.600704257
671,1.963960235,Error,1.600704257
672,1.963701598,Error,1.600704257
673,1.964224101,Error,1.600704257
674,1.963960235,Error,1.600704257
675,1.964224101,Error,1.600704257
676,1.964487807,Error,1.600704257
677,1.963960235,Error,1.600704257
678,1.964487807,Error,1.600704257
679,1.964224101,Error,1.600704257
680,1.963960235,Error,1.58195146
681,1.963960235,Error,1.581448492
682,1.963960235,Error,1.58195146
683,1.963701598,Error,1.58195146
684,1.963701598,Error,1.58195146
685,1.963960235,Error,1.58195146
686,1.963960235,Error,1.58195146
687,1.963960235,Error,1.58195146
688,1.964224101,Error,1.58195146
689,1.964224101,Error,1.58195146
690,1.963960235,Error,1.58195146
691,1.94079237,Error,1.58195146
692,1.94079237,Error,1.58195146
693,1.940533733,Error,1.58195146
694,1.94079237,Error,1.58195146
695,1.94079237,Error,1.58195146
696,1.940533733,Error,1.582453847
697,1.941056236,Error,1.58195146
698,1.941056236,Error,1.582453847
699,1.941056236,Error,1.581761729
700,1.941056236,Error,1.563668702
701,1.94079237,Error,1.562976584
702,1.940533733,Error,1.562976584
703,1.94079237,Error,1.562976584
704,1.94079237,Error,1.562976584
705,1.940533733,Error,1.562976584
706,1.94079237,Error,1.562976584
707,1.94079237,Error,1.562976584
708,1.94079237,Error,1.562976584
709,1.941056236,Error,1.562976584
710,1.941319942,Error,1.562976584
711,1.94079237,Error,1.562976584
712,1.941056236,Error,1.562976584
713,1.941056236,Error,1.562976584
714,1.94079237,Error,1.562976584
715,1.941056236,Error,1.562976584
716,1.94079237,Error,1.562976584
717,1.94079237,Error,1.56347919
718,1.940533733,Error,1.56347919
719,1.941056236,Error,1.545805927
720,1.941319942,Error,1.545805927
721,1.941056236,Error,1.545805927
722,1.941056236,Error,1.570472811
723,1.941056236,Error,1.570472811
724,1.94079237,Error,1.570472811
725,1.941056236,Error,1.570472811
726,1.940533733,Error,1.570472811
727,1.94079237,Error,1.570472811
728,1.94079237,Error,1.570472811
729,1.94079237,Error,1.570472811
730,1.941056236,Error,1.570472811
731,1.941056236,Error,1.569970205
732,1.941319942,Error,1.569970205
733,1.941056236,Error,1.569970205
734,1.941056236,Error,1.570472811
735,1.941056236,Error,1.570472811
736,1.940533733,Error,1.570472811
737,1.941056236,Error,1.570472811
738,1.94079237,Error,1.552180391
739,1.940533733,Error,1.552682416
740,1.94079237,Error,1.552180391
741,1.941319942,Error,1.552180391
742,1.941056236,Error,1.552682416
743,1.918879073,Error,1.552682416
744,1.918615367,Error,1.552682416
745,1.918615367,Error,1.552682416
746,1.918351501,Error,1.552682416
747,1.918615367,Error,1.552682416
748,1.918351501,Error,1.552682416
749,1.918092864,Error,1.552682416
750,1.918351501,Error,1.553174406
751,1.918351501,Error,1.553174406
752,1.918879073,Error,1.552682416
753,1.918879073,Error,1.553174406
754,1.918615367,Error,1.553174406
755,1.918879073,Error,1.553174406
756,1.918615367,Error,1.53562142
757,1.918615367,Error,1.53562142
758,1.918615367,Error,1.53562142
759,1.918351501,Error,1.53562142
760,1.918351501,Error,1.53562142
761,1.918092864,Error,1.53562142
762,1.918351501,Error,1.53562142
763,1.918879073,Error,1.53562142
764,1.918615367,Error,1.53562142
765,1.918879073,Error,1.53562142
766,1.918879073,Error,1.53562142
767,1.918351501,Error,1.53562142
768,1.918615367,Error,1.53562142
769,1.918615367,Error,1.53562142
770,1.918615367,Error,1.536122299
771,1.918879073,Error,1.53562142
772,1.918351501,Error,1.536122299
773,1.918092864,Error,1.536122299
774,1.918615367,Error,1.536122299
775,1.918615367,Error,1.519563612
776,1.918615367,Error,1.519563612
777,1.918879073,Error,1.519563612
778,1.918615367,Error,1.520063913
779,1.918351501,Error,1.520063913
780,1.918615367,Error,1.520063913
781,1.918615367,Error,1.520063913
